,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,,-additional
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards,-9999
1,Dirk Nowitzki,32,PF,21,21,826,0,0,0,97,3,10.2,16.8,27,23,27,10,62,1,134,10,29,Finals MVP-1,nowitdi01
2,Jason Kidd,37,PG,21,21,744,84,16,0,0,0,10.3,11.7,41,13,19,1,4,1,348,1,7,,kiddja01
3,Shawn Marion,32,SF,21,21,690,0,0,97,4,0,6.2,-2.8,18,13,24,2,22,3,107,5,18,,mariosh01
4,Jason Terry,33,SG,21,0,684,0,96,4,0,0,11.1,12.7,17,8,23,1,24,2,158,1,8,,terryja01
5,Tyson Chandler,28,C,21,21,680,0,0,0,0,100,8.2,3.2,1,1,40,8,38,4,18,5,15,,chandty01
6,J.J. Barea,26,PG,21,3,390,100,0,0,0,0,-1.8,-14.5,15,6,13,2,12,5,170,3,18,,bareajo01
7,Peja Stojaković,33,SF,19,0,350,0,0,57,43,0,6.2,-1.4,8,0,13,0,4,0,16,0,6,,stojape01
8,DeShawn Stevenson,29,SG,21,18,332,0,67,33,0,0,-7.0,-20.7,7,1,13,1,5,5,30,0,3,,stevede01
9,Brendan Haywood,31,C,18,0,275,0,0,0,0,100,9.3,3.0,2,4,29,2,22,0,12,3,2,,haywobr01
10,Brian Cardinal,33,SF,9,0,37,0,0,0,100,0,19.5,12.9,2,0,5,1,0,1,6,0,0,,cardibr01
11,Ian Mahinmi,24,C,6,0,33,0,0,0,0,100,-17.1,-25.1,0,0,13,0,2,1,0,1,0,,mahinia01
12,Corey Brewer,24,SG,6,0,23,0,39,61,0,0,22.4,15.7,0,1,2,1,0,0,2,0,1,,breweco01
,Team Totals,,,21,21,5064,20,20,20,20,20,7.1,3.8,138,70,221,29,195,23,1001,29,107,,-9999
