--- SECTION 1: CLUTCH IDENTITY SUMMARY (FG and FT) ---
Player,FGM,FGA,FG%,FTM,FTA,FT%
Dirk Nowitzki,31,52,59.62,54,58,93.1
Jason Terry,10,34,29.41,16,16,100.0
Jason Kidd,6,15,40.0,13,16,81.25
Shawn Marion,7,10,70.0,7,8,87.5
Tyson Chandler,3,7,42.86,2,4,50.0
Peja Stojakovic,1,3,33.33,0,0,0.0
DeShawn Stevenson,0,2,0.0,2,2,100.0
J.J. Barea,1,1,100.0,2,4,50.0
Brendan Haywood,0,0,0.0,0,2,0.0


--- SECTION 2: FULL PLAY-BY-PLAY LOG WITH SPLIT SCORES ---
Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 1 v Portland,4:49.0,72,69,Dirk Nowitzki,Make,FT,4:49.0	 	 	72-69	+1	D. Nowitzki makes free throw 1 of 2
Game 1 v Portland,4:49.0,72,70,Dirk Nowitzki,Make,FT,4:49.0	 	 	72-70	+1	D. Nowitzki makes free throw 2 of 2
Game 1 v Portland,4:16.0,72,71,Dirk Nowitzki,Make,FT,4:16.0	 	 	72-71	+1	D. Nowitzki makes free throw 1 of 2
Game 1 v Portland,4:16.0,72,72,Dirk Nowitzki,Make,FT,4:16.0	 	 	72-72	+1	D. Nowitzki makes free throw 2 of 2
Game 1 v Portland,3:40.0,74,75,Dirk Nowitzki,Make,3PT,3:40.0	 	 	74-75	+3	D. Nowitzki makes 3-pt jump shot from 23 ft (assist by J. Terry)
Game 1 v Portland,3:15.0,74,76,Dirk Nowitzki,Make,FT,3:15.0	 	 	74-76	+1	D. Nowitzki makes free throw 1 of 2
Game 1 v Portland,3:15.0,74,77,Dirk Nowitzki,Make,FT,3:15.0	 	 	74-77	+1	D. Nowitzki makes free throw 2 of 2
Game 1 v Portland,2:36.0,76,79,Dirk Nowitzki,Make,2PT,2:36.0	 	 	76-79	+2	D. Nowitzki makes 2-pt jump shot from 8 ft
Game 1 v Portland,2:36.0,76,80,Dirk Nowitzki,Make,FT,2:36.0	 	 	76-80	+1	D. Nowitzki makes free throw 1 of 1
Game 1 v Portland,2:23.0,76,80,Shawn Marion,Foul,N/A,2:23.0	Personal foul by S. Marion (drawn by G. Wallace)	 	76-80
Game 1 v Portland,1:56.0,76,80,Jason Kidd,Miss,2PT,1:56.0	 	 	76-80	 	J. Kidd misses 2-pt layup from 1 ft
Game 1 v Portland,1:30.0,78,81,Jason Terry,Make,FT,1:30.0	 	 	78-81	+1	J. Terry makes free throw 1 of 2
Game 1 v Portland,1:30.0,78,82,Jason Terry,Make,FT,1:30.0	 	 	78-82	+1	J. Terry makes free throw 2 of 2
Game 1 v Portland,1:30.0,78,82,Shawn Marion,Foul,N/A,1:30.0	Away from play foul by S. Marion (drawn by B. Roy)	 	78-82
Game 1 v Portland,0:48.9,78,82,Dirk Nowitzki,Miss,2PT,0:48.9	 	 	78-82	 	D. Nowitzki misses 2-pt jump shot from 15 ft
Game 1 v Portland,0:25.4,78,85,Jason Kidd,Make,3PT,0:25.4	 	 	78-85	+3	J. Kidd makes 3-pt jump shot from 26 ft
Game 1 v Portland,0:21.4,81,86,Jason Terry,Make,FT,0:21.4	 	 	81-86	+1	J. Terry makes free throw 1 of 2
Game 1 v Portland,0:21.4,81,87,Jason Terry,Make,FT,0:21.4	 	 	81-87	+1	J. Terry makes free throw 2 of 2
Game 1 v Portland,0:11.0,81,88,Dirk Nowitzki,Make,FT,0:11.0	 	 	81-88	+1	D. Nowitzki makes free throw 1 of 2
Game 1 v Portland,0:11.0,81,89,Dirk Nowitzki,Make,FT,0:11.0	 	 	81-89	+1	D. Nowitzki makes free throw 2 of 2
Game 2 vs Portland,4:50.0,82,88,Tyson Chandler,Miss,2PT,4:50.0	 	 	82-88	 	T. Chandler misses 2-pt layup from 1 ft (block by L. Aldridge)
Game 2 vs Portland,4:48.0,82,90,Tyson Chandler,Make,2PT,4:48.0	 	 	82-90	+2	T. Chandler makes 2-pt dunk at rim
Game 2 vs Portland,4:06.0,82,90,Jason Terry,Miss,2PT,4:06.0	 	 	82-90	 	J. Terry misses 2-pt jump shot from 19 ft
Game 2 vs Portland,3:37.0,84,92,Dirk Nowitzki,Make,2PT,3:37.0	 	 	84-92	+2	D. Nowitzki makes 2-pt jump shot from 10 ft
Game 2 vs Portland,2:52.0,84,94,Dirk Nowitzki,Make,2PT,2:52.0	 	 	84-94	+2	D. Nowitzki makes 2-pt jump shot from 2 ft
Game 2 vs Portland,2:32.0,84,94,Tyson Chandler,Foul,N/A,2:32.0	Shooting foul by T. Chandler (drawn by A. Miller)	 	84-94
Game 2 vs Portland,2:16.0,86,95,Dirk Nowitzki,Make,FT,2:16.0	 	 	86-95	+1	D. Nowitzki makes free throw 1 of 2
Game 2 vs Portland,2:16.0,86,96,Dirk Nowitzki,Make,FT,2:16.0	 	 	86-96	+1	D. Nowitzki makes free throw 2 of 2
Game 2 vs Portland,1:55.0,86,98,Dirk Nowitzki,Make,2PT,1:55.0	 	 	86-98	+2	D. Nowitzki makes 2-pt jump shot from 16 ft (assist by J. Kidd)
Game 2 vs Portland,1:26.0,86,98,Dirk Nowitzki,Miss,FT,1:26.0	 	 	86-98	 	D. Nowitzki misses free throw 1 of 2
