Game,Time,Opponent_Score,Mavs_Score,Player,Action,Shot_Type,Description
Game 1 v Portland,4:49.0,72.0,69.0,Dirk Nowitzki,Make,FT,4:49.0	 	 	72-69	+1	D. Nowitzki makes free throw 1 of 2
Game 1 v Portland,4:49.0,72.0,70.0,Dirk Nowitzki,Make,FT,4:49.0	 	 	72-70	+1	D. Nowitzki makes free throw 2 of 2
Game 1 v Portland,4:16.0,72.0,71.0,Dirk Nowitzki,Make,FT,4:16.0	 	 	72-71	+1	D. Nowitzki makes free throw 1 of 2
Game 1 v Portland,4:16.0,72.0,72.0,Dirk Nowitzki,Make,FT,4:16.0	 	 	72-72	+1	D. Nowitzki makes free throw 2 of 2
Game 1 v Portland,3:40.0,74.0,75.0,Dirk Nowitzki,Make,3PT,3:40.0	 	 	74-75	+3	D. Nowitzki makes 3-pt jump shot from 23 ft (assist by J. Terry)
Game 1 v Portland,3:15.0,74.0,76.0,Dirk Nowitzki,Make,FT,3:15.0	 	 	74-76	+1	D. Nowitzki makes free throw 1 of 2
Game 1 v Portland,3:15.0,74.0,77.0,Dirk Nowitzki,Make,FT,3:15.0	 	 	74-77	+1	D. Nowitzki makes free throw 2 of 2
Game 1 v Portland,2:36.0,76.0,79.0,Dirk Nowitzki,Make,2PT,2:36.0	 	 	76-79	+2	D. Nowitzki makes 2-pt jump shot from 8 ft
Game 1 v Portland,2:36.0,76.0,80.0,Dirk Nowitzki,Make,FT,2:36.0	 	 	76-80	+1	D. Nowitzki makes free throw 1 of 1
Game 1 v Portland,2:23.0,76.0,80.0,Shawn Marion,Foul,,2:23.0	Personal foul by S. Marion (drawn by G. Wallace)	 	76-80
Game 1 v Portland,1:56.0,76.0,80.0,Jason Kidd,Miss,2PT,1:56.0	 	 	76-80	 	J. Kidd misses 2-pt layup from 1 ft
Game 1 v Portland,1:30.0,78.0,81.0,Jason Terry,Make,FT,1:30.0	 	 	78-81	+1	J. Terry makes free throw 1 of 2
Game 1 v Portland,1:30.0,78.0,82.0,Jason Terry,Make,FT,1:30.0	 	 	78-82	+1	J. Terry makes free throw 2 of 2
Game 1 v Portland,1:30.0,78.0,82.0,Shawn Marion,Foul,,1:30.0	Away from play foul by S. Marion (drawn by B. Roy)	 	78-82
Game 1 v Portland,0:48.9,78.0,82.0,Dirk Nowitzki,Miss,2PT,0:48.9	 	 	78-82	 	D. Nowitzki misses 2-pt jump shot from 15 ft
Game 1 v Portland,0:25.4,78.0,85.0,Jason Kidd,Make,3PT,0:25.4	 	 	78-85	+3	J. Kidd makes 3-pt jump shot from 26 ft
Game 1 v Portland,0:21.4,81.0,86.0,Jason Terry,Make,FT,0:21.4	 	 	81-86	+1	J. Terry makes free throw 1 of 2
Game 1 v Portland,0:21.4,81.0,87.0,Jason Terry,Make,FT,0:21.4	 	 	81-87	+1	J. Terry makes free throw 2 of 2
Game 1 v Portland,0:11.0,81.0,88.0,Dirk Nowitzki,Make,FT,0:11.0	 	 	81-88	+1	D. Nowitzki makes free throw 1 of 2
Game 1 v Portland,0:11.0,81.0,89.0,Dirk Nowitzki,Make,FT,0:11.0	 	 	81-89	+1	D. Nowitzki makes free throw 2 of 2
Game 3 v Portland,4:28.0,84.0,91.0,J.J. Barea,Foul,,4:28.0	 	 	84-91	 	Personal foul by J. Barea (drawn by A. Miller)
Game 3 v Portland,4:00.0,84.0,91.0,Brendan Haywood,Miss,FT,4:00.0	B. Haywood misses free throw 1 of 2	 	84-91
Game 3 v Portland,4:00.0,84.0,91.0,Brendan Haywood,Miss,FT,4:00.0	B. Haywood misses free throw 2 of 2	 	84-91
Game 3 v Portland,3:41.0,85.0,91.0,J.J. Barea,Make,FT,3:41.0	J. Barea makes free throw 1 of 2	+1	85-91
Game 3 v Portland,3:41.0,85.0,91.0,J.J. Barea,Miss,FT,3:41.0	J. Barea misses free throw 2 of 2	 	85-91
Game 3 v Portland,3:05.0,85.0,93.0,Jason Terry,Turnover,,3:05.0	Turnover by J. Terry (lost ball; steal by L. Aldridge)	 	85-93
Game 3 v Portland,2:40.0,87.0,93.0,J.J. Barea,Make,2PT,2:40.0	J. Barea makes 2-pt layup from 1 ft	+2	87-93
Game 3 v Portland,1:58.0,87.0,95.0,Jason Terry,Miss,3PT,1:58.0	J. Terry misses 3-pt jump shot from 25 ft	 	87-95
Game 3 v Portland,1:25.0,87.0,95.0,Dirk Nowitzki,Miss,FT,1:25.0	D. Nowitzki misses free throw 1 of 2	 	87-95
Game 3 v Portland,1:25.0,88.0,95.0,Dirk Nowitzki,Make,FT,1:25.0	D. Nowitzki makes free throw 2 of 2	+1	88-95
Game 3 v Portland,0:42.9,90.0,95.0,Dirk Nowitzki,Make,2PT,0:42.9	D. Nowitzki makes 2-pt jump shot from 10 ft	+2	90-95
Game 3 v Portland,0:12.9,92.0,95.0,Jason Kidd,Make,2PT,0:12.9	J. Kidd makes 2-pt jump shot from 23 ft	+2	92-95
Game 3 v Portland,0:09.6,92.0,95.0,Jason Kidd,Foul,,0:09.6	 	 	92-95	 	Personal foul by J. Kidd (drawn by A. Miller)
Game 3 v Portland,0:06.9,92.0,97.0,Jason Kidd,Miss,3PT,0:06.9	J. Kidd misses 3-pt jump shot from 25 ft	 	92-97
Game 1 vs Lakers,4:53.0,87.0,90.0,Dirk Nowitzki,Make,2PT,4:53.0	D. Nowitzki makes 2-pt jump shot from 13 ft	+2	87-90
Game 1 vs Lakers,4:30.0,90.0,85.0,Kobe Bryant,Miss,,misses 3-pt jump shot from 25 ft
Game 1 vs Lakers,4:17.0,87.0,90.0,Dirk Nowitzki,Miss,2PT,4:17.0	D. Nowitzki misses 2-pt jump shot from 11 ft	 	87-90
Game 1 vs Lakers,4:02.0,90.0,87.0,Kobe Bryant,Miss,,misses 2-pt jump shot from 6 ft (block by T. Chandler)
Game 1 vs Lakers,3:56.0,87.0,90.0,Jason Terry,Miss,2PT,3:56.0	J. Terry misses 2-pt jump shot from 16 ft	 	87-90
Game 1 vs Lakers,3:53.0,87.0,90.0,Dirk Nowitzki,Miss,2PT,3:53.0	D. Nowitzki misses 2-pt layup from 2 ft (block by L. Odom)	 	87-90
Game 1 vs Lakers,3:33.0,92.0,87.0,Kobe Bryant,Make,,makes 2-pt jump shot from 17 ft
Game 1 vs Lakers,3:11.0,89.0,92.0,Tyson Chandler,Make,2PT,3:11.0	T. Chandler makes 2-pt dunk from 2 ft (assist by J. Kidd)	+2	89-92
Game 1 vs Lakers,2:42.0,92.0,89.0,Kobe Bryant,Miss,,misses 2-pt jump shot from 19 ft
Game 1 vs Lakers,2:24.0,89.0,92.0,Dirk Nowitzki,Miss,2PT,2:24.0	D. Nowitzki misses 2-pt jump shot from 11 ft	 	89-92
